NORFOLK,VA                      ,16,13,6,*,0,0,0,0,0,*,3,12,50
RICHMOND,VA                     ,22,19,11,2,*,0,0,0,0,1,9,19,83
ROANOKE,VA                      ,22,19,12,2,*,0,0,0,0,2,10,19,86
WALLOPS ISLAND,VA               ,21,18,10,1,0,0,0,0,0,*,6,16,72
OLYMPIA,WA                      ,15,14,13,8,2,*,0,0,1,5,10,15,82
QUILLAYUTE,WA                   ,12,10,9,5,1,0,0,0,*,3,7,12,58
SEATTLE,WA                      ,10,6,4,*,*,0,0,0,0,*,4,8,33
SPOKANE,WA                      ,26,22,19,8,1,0,0,0,1,7,18,26,128
WALLA WALLA,WA                  ,19,13,7,1,*,0,0,0,*,2,10,19,70
YAKIMA,WA                       ,28,24,21,12,3,*,0,0,1,11,22,28,149
BECKLEY,WV                      ,25,22,16,6,1,*,0,0,*,5,14,22,111
CHARLESTON,WV                   ,23,20,14,4,*,0,0,0,0,3,13,21,98
ELKINS,WV                       ,26,24,22,12,2,*,*,0,1,9,19,25,140
HUNTINGTON,WV                   ,23,20,13,3,*,0,0,0,*,3,11,20,94
GREEN BAY,WI                    ,30,27,26,13,2,*,0,0,1,7,21,29,156
LA CROSSE,WI                    ,30,27,25,10,1,*,0,0,*,6,21,29,149
MADISON,WI                      ,30,27,25,12,2,*,0,0,1,8,21,29,155
MILWAUKEE,WI                    ,29,26,23,9,1,0,0,0,*,3,17,27,135
CASPER,WY                       ,29,26,27,20,6,*,*,*,3,15,25,29,181
CHEYENNE,WY                     ,29,27,27,18,5,*,0,0,2,12,25,28,174
LANDER,WY                       ,31,28,28,18,5,*,0,0,2,14,27,31,183
SHERIDAN,WY                     ,30,27,28,18,5,*,0,*,3,16,27,30,185
GUAM,PC                         ,0,0,0,0,0,0,0,0,0,0,0,0,0
KOROR,PC                        ,0,0,0,0,0,0,0,0,0,0,0,0,0
KWAJALEIN- MARSHALL IS.,PC      ,0,0,0,0,0,0,0,0,0,0,0,0,0
MAJURO- MARSHALL IS,PC          ,0,0,0,0,0,0,0,0,0,0,0,0,0
PAGO PAGO- AMER SAMOA,PC        ,0,0,0,0,0,0,0,0,0,0,0,0,0
POHNPEI- CAROLINE IS.,PC        ,0,0,0,0,0,0,0,0,0,0,0,0,0
CHUUK- E. CAROLINE IS.,PC       ,0,0,0,0,0,0,0,0,0,0,0,0,0
YAP- W CAROLINE IS.,PC          ,0,0,0,0,0,0,0,0,0,0,0,0,0
SAN JUAN,PR                     ,0,0,0,0,0,0,0,0,0,0,0,0,0
